iter	Passed	Remaining
190	7561	12233
191	7598	12189
192	7636	12147
193	7674	12104
194	7712	12062
195	7748	12018
196	7786	11975
197	7824	11933
198	7860	11890
199	7898	11847
200	7934	11803
201	7970	11758
202	8009	11718
203	8048	11678
204	8087	11638
205	8124	11595
206	8162	11553
207	8195	11505
208	8234	11465
209	8270	11421
210	8307	11379
211	8345	11337
212	8381	11294
213	8422	11256
214	8460	11215
215	8496	11171
216	8534	11130
217	8570	11087
218	8606	11043
219	8643	11000
220	8680	10958
221	8716	10915
222	8756	10876
223	8792	10834
224	8828	10790
225	8866	10749
226	8903	10707
227	8942	10668
228	8979	10626
229	9016	10584
230	9055	10545
231	9094	10505
232	9132	10465
233	9171	10425
234	9209	10384
235	9248	10346
236	9287	10306
237	9322	10262
238	9360	10221
239	9397	10180
240	9436	10140
241	9473	10099
242	9509	10057
243	9545	10015
244	9582	9973
245	9620	9932
246	9656	9891
247	9693	9849
248	9732	9810
249	9768	9768
250	9804	9726
251	9840	9684
252	9875	9640
253	9911	9599
254	9947	9557
255	9983	9515
256	10019	9473
257	10055	9431
258	10091	9390
259	10127	9348
260	10164	9307
261	10201	9266
262	10237	9225
263	10272	9183
264	10307	9140
265	10344	9099
266	10381	9059
267	10419	9020
268	10457	8980
269	10495	8940
270	10531	8899
271	10568	8859
272	10604	8817
273	10644	8779
274	10679	8737
275	10715	8696
276	10752	8656
277	10788	8615
278	10824	8574
279	10864	8536
280	10900	8495
281	10937	8455
282	10973	8414
283	11011	8374
284	11047	8334
285	11083	8292
286	11120	8253
287	11160	8215
288	11198	8176
289	11234	8135
290	11269	8094
291	11306	8054
292	11342	8013
293	11379	7973
294	11416	7933
295	11455	7895
296	11494	7856
297	11530	7815
298	11568	7776
299	11604	7736
300	11643	7697
301	11686	7661
302	11726	7623
303	11761	7583
304	11799	7543
305	11836	7504
306	11872	7463
307	11910	7424
308	11947	7384
309	11983	7344
310	12020	7304
311	12055	7264
312	12091	7223
313	12128	7184
314	12164	7144
315	12201	7104
316	12238	7065
317	12276	7025
318	12313	6986
319	12349	6946
320	12388	6908
321	12424	6868
322	12459	6827
323	12496	6788
324	12533	6748
325	12570	6709
326	12608	6670
327	12647	6631
328	12685	6593
329	12719	6552
330	12759	6514
331	12796	6475
332	12832	6435
333	12870	6396
334	12907	6357
335	12945	6318
336	12984	6280
337	13019	6239
338	13057	6201
339	13096	6163
340	13135	6124
341	13176	6087
342	13214	6048
343	13253	6010
344	13292	5972
345	13335	5935
346	13373	5896
347	13412	5858
348	13451	5819
349	13488	5780
350	13525	5741
351	13560	5701
352	13597	5662
353	13635	5623
354	13671	5584
355	13706	5544
356	13743	5505
357	13779	5465
358	13817	5426
359	13852	5387
360	13890	5348
361	13929	5309
362	13965	5270
363	14002	5231
364	14039	5192
365	14077	5153
366	14117	5116
367	14157	5078
368	14199	5040
369	14239	5003
370	14281	4965
371	14318	4926
372	14353	4887
373	14391	4848
374	14427	4809
375	14464	4770
376	14501	4731
377	14539	4692
378	14575	4653
379	14612	4614
380	14649	4575
381	14685	4536
382	14721	4497
383	14757	4457
384	14794	4419
385	14830	4379
386	14865	4340
387	14902	4301
388	14940	4263
389	14978	4224
390	15015	4185
391	15051	4146
392	15088	4108
393	15125	4069
394	15162	4030
395	15200	3991
396	15236	3952
397	15272	3914
398	15310	3875
399	15347	3836
400	15385	3798
401	15426	3760
402	15464	3722
403	15504	3684
404	15542	3645
405	15585	3608
406	15624	3570
407	15662	3531
408	15701	3493
409	15738	3454
410	15772	3415
411	15809	3376
412	15846	3338
413	15883	3299
414	15921	3260
415	15958	3222
416	15996	3183
417	16037	3146
418	16074	3107
419	16112	3069
420	16155	3031
421	16199	2994
422	16250	2958
423	16296	2921
424	16339	2883
425	16379	2845
426	16427	2808
427	16483	2772
428	16528	2735
429	16577	2698
430	16619	2660
431	16660	2622
432	16700	2584
433	16741	2546
434	16782	2507
435	16821	2469
436	16860	2430
437	16899	2392
438	16940	2353
439	16984	2316
440	17025	2277
441	17064	2239
442	17102	2200
443	17142	2162
444	17180	2123
445	17220	2084
446	17259	2046
447	17302	2008
448	17341	1969
449	17378	1930
450	17414	1892
451	17450	1853
452	17490	1814
453	17527	1775
454	17566	1737
455	17606	1698
456	17645	1660
457	17686	1621
458	17729	1583
459	17769	1545
460	17811	1506
461	17845	1467
462	17886	1429
463	17946	1392
464	17986	1353
465	18029	1315
466	18074	1277
467	18112	1238
468	18154	1199
469	18197	1161
470	18240	1123
471	18280	1084
472	18317	1045
473	18354	1006
474	18391	967
475	18426	929
476	18467	890
477	18510	851
478	18552	813
479	18595	774
480	18631	735
481	18668	697
482	18706	658
483	18745	619
484	18783	580
485	18823	542
486	18861	503
487	18901	464
488	18939	426
489	18977	387
490	19014	348
491	19051	309
492	19086	271
493	19122	232
494	19153	193
495	19190	154
496	19226	116
497	19264	77
498	19300	38
499	19335	0
